name,price,description,image,category
Leather Belt,1299,Genuine leather belt,https://images.unsplash.com/photo-1593030761757-71fae45fa0e7?w=400,Accessories
Classic Sunglasses,1899,UV protection sunglasses,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=400,Accessories
Silver Bracelet,2499,Stylish bracelet,https://images.unsplash.com/photo-1603569283847-aa295f0d016a?w=400,Accessories
Travel Backpack,3499,Waterproof backpack,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=400,Accessories
Analog Watch,2199,Classic analog watch,https://images.unsplash.com/photo-1508057198894-247b23fe5ade?w=400,Accessories
Baseball Cap,899,Casual cap,https://images.unsplash.com/photo-1521369909029-2afed882baee?w=400,Accessories
Formal Tie,799,Office wear tie,https://images.unsplash.com/photo-1598032895397-b9472444bf93?w=400,Accessories
Wallet Organizer,1599,Multi pocket wallet,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=400,Accessories
Key Holder,499,Metal key holder,https://images.unsplash.com/photo-1585386959984-a4155224a1ad?w=400,Accessories
Duffel Bag,3999,Gym travel bag,https://images.unsplash.com/photo-1598970434795-0c54fe7c0642?w=400,Accessories

Graphic T-Shirt,1499,Printed tshirt,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=400,Clothing
Oversized Hoodie,2299,Comfort hoodie,https://images.unsplash.com/photo-1544441893-675973e31985?w=400,Clothing
Slim Fit Shirt,1999,Cotton shirt,https://images.unsplash.com/photo-1603252109303-2751441dd157?w=400,Clothing
Cargo Pants,2499,Outdoor pants,https://images.unsplash.com/photo-1584865288642-42078afe6942?w=400,Clothing
Joggers,1799,Sports joggers,https://images.unsplash.com/photo-1520975916090-3105956dac38?w=400,Clothing
Winter Jacket,4599,Warm jacket,https://images.unsplash.com/photo-1542060748-10c28b62716a?w=400,Clothing
Polo T-Shirt,1599,Polo cotton tshirt,https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=400,Clothing
Denim Jacket,3999,Blue denim jacket,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,Clothing
Track Suit,3299,Sports tracksuit,https://images.unsplash.com/photo-1593032465171-8f8c1d5d4df1?w=400,Clothing
Formal Blazer,5499,Office blazer,https://images.unsplash.com/photo-1592878904946-b3cd8ae243d0?w=400,Clothing

Running Sneakers,3999,Lightweight shoes,https://images.unsplash.com/photo-1519744346363-d2d48c6b3d7c?w=400,Shoes
Basketball Shoes,4999,High ankle shoes,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,Shoes
